bulan,total_kamar,kamar_terisi_akhir_bulan,kamar_kosong_akhir_bulan,rata_hari_kosong,occupancy_rate,pemasukan_kos_bulanan
2022-01,15,15,0,5,0.9785,29452850
2022-02,15,15,0,3,1.0,30100000
2022-03,15,15,0,9,0.8839,26605390
2022-04,15,15,0,10,0.9111,27424110
2022-05,15,15,0,19,0.7957,23950570
2022-06,15,15,0,10,0.8667,26087670
2022-07,15,15,0,3,0.9935,29904350
2022-08,15,15,0,3,0.9935,29904350
2022-09,15,15,0,4,0.9911,29832110
2022-10,15,15,0,2,0.9914,29841140
2022-11,15,15,0,4,1.0,30100000
2022-12,15,15,0,3,0.9935,29904350
2023-01,15,15,0,2,0.9914,29841140
2023-02,15,15,0,3,0.9929,29886290
2023-03,15,15,0,9,0.9032,27186320
2023-04,15,15,0,19,0.7467,22475670
2023-05,15,15,0,15,0.8065,24275650
2023-06,15,15,0,12,0.7867,23679670
2023-07,15,15,0,3,0.9935,29904350
2023-08,15,15,0,5,0.9785,29452850
2023-09,15,15,0,5,0.9889,29765890
2023-10,15,15,0,4,0.9914,29841140
2023-11,15,15,0,5,0.9778,29431780
2023-12,15,15,0,4,0.9828,29582280
2024-01,15,15,0,4,0.9914,29841140
2024-02,15,15,0,2,0.9908,29823080
2024-03,15,15,0,14,0.7892,23754920
2024-04,15,15,0,8,0.8756,26355560
2024-05,15,15,0,9,0.8839,26605390
2024-06,15,15,0,11,0.8778,26421780
2024-07,15,15,0,5,0.9892,29774920
2024-08,15,15,0,2,1.0,30100000
2024-09,15,15,0,5,1.0,30100000
2024-10,15,15,0,2,1.0,30100000
2024-11,15,15,0,4,0.9911,29832110
2024-12,15,15,0,4,0.9828,29582280
