bulan,total_kamar,kamar_terisi_akhir_bulan,kamar_kosong_akhir_bulan,rata_hari_kosong,occupancy_rate,pemasukan_kos_bulanan
2022-01,15,15,0,2,0.9957,30100000
2022-02,15,15,0,5,1,30100000
2022-03,15,15,0,17,0.7806,30100000
2022-04,15,15,0,9,0.86,30100000
2022-05,15,15,0,8,0.8968,30100000
2022-06,15,15,0,16,0.8578,30100000
2022-07,15,15,0,2,0.9957,30100000
2022-08,15,15,0,4,1,30100000
2022-09,15,15,0,4,1,30100000
2022-10,15,15,0,4,0.9828,30100000
2022-11,15,15,0,2,0.9911,30100000
2022-12,15,15,0,4,1,30100000
2023-01,15,15,0,2,1,30100000
2023-02,15,15,0,2,0.9952,30100000
2023-03,15,15,0,19,0.7548,30100000
2023-04,15,15,0,10,0.8222,30100000
2023-05,15,15,0,15,0.8065,30100000
2023-06,15,15,0,8,0.8756,30100000
2023-07,15,15,0,2,0.9957,30100000
2023-08,15,15,0,2,0.9914,30100000
2023-09,15,15,0,5,0.9889,30100000
2023-10,15,15,0,2,1,30100000
2023-11,15,15,0,4,1,30100000
2023-12,15,15,0,2,1,30100000
2024-01,15,15,0,4,0.9914,30100000
2024-02,15,15,0,2,0.9908,30100000
2024-03,15,15,0,11,0.9054,30100000
2024-04,15,15,0,14,0.8133,30100000
2024-05,15,15,0,15,0.8387,30100000
2024-06,15,15,0,19,0.7467,30100000
2024-07,15,15,0,5,0.9892,30100000
2024-08,15,15,0,4,0.9914,30100000
2024-09,15,15,0,5,0.9889,30100000
2024-10,15,15,0,4,0.9828,30100000
2024-11,15,15,0,4,1,30100000
2024-12,15,15,0,3,0.9871,30100000
