bulan,pengeluaran_operasional_kos,keluhan_penghuni,biaya_tak_terduga_kos
2022-01,3439503,2,186724
2022-02,3595484,2,170014
2022-03,4281916,2,401994
2022-04,4150922,3,367885
2022-05,4317374,1,0
2022-06,3890955,1,0
2022-07,3985257,0,0
2022-08,3749450,2,393052
2022-09,3325329,1,0
2022-10,3822614,0,0
2022-11,3865256,0,0
2022-12,4012544,2,426719
2023-01,3279143,2,362091
2023-02,4178320,2,472828
2023-03,4584822,1,0
2023-04,3859987,2,343877
2023-05,3336285,2,202412
2023-06,3874533,1,0
2023-07,4418826,1,0
2023-08,4399769,0,0
2023-09,3439439,2,125517
2023-10,3484282,0,0
2023-11,3521396,2,205686
2023-12,4034451,2,273860
2024-01,4022582,2,287655
2024-02,3031085,1,0
2024-03,4254326,1,0
2024-04,4863900,2,187954
2024-05,4676971,3,217305
2024-06,3232101,2,102775
2024-07,4300964,2,333346
2024-08,4038218,2,452365
2024-09,3495654,1,0
2024-10,3831257,0,0
2024-11,4323173,1,0
2024-12,3700033,2,489150
