tanggal,hari,cuaca,jumlah_transaksi,jumlah_sprei,berat_total_kg,jenis_layanan_terbanyak,jam_teramai,staff_pagi_count,staff_sore_count,total_staff_available,hours_pagi,hours_sore,kapasitas_teoritis_transaksi,status_mesin,stok_deterjen,estimasi_waktu_selesai_jam,indikator_antrian,biaya_operasional,biaya_tak_terduga,biaya_lembur,pendapatan_harian,laba_harian,bulan
2024-01-01,Monday,cerah,9,0,84.2,cuci biasa,20:00,2,2,4,8,7,10,normal,cukup,6.75,ok,235305,0,0,589442,354137,2024-01
2024-01-02,Tuesday,hujan,27,0,273.1,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,313678,1020000,1020000,1911380,577702,2024-01
2024-01-03,Wednesday,cerah,8,0,80.9,cuci biasa,18:00,2,2,4,8,7,10,normal,menipis,6.0,ok,314231,89504,0,566443,162708,2024-01
2024-01-04,Thursday,hujan,15,0,151.4,cuci biasa,20:00,2,2,4,8,7,10,normal,cukup,11.25,potensi_antrian,255878,300000,300000,1060079,504201,2024-01
2024-01-05,Friday,cerah,27,0,261.2,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,157392,1020000,1020000,1828558,651166,2024-01
2024-01-06,Saturday,cerah,28,3,292.6,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,170932,1080000,1080000,2078545,827613,2024-01
2024-01-07,Sunday,cerah,27,2,284.3,cuci biasa,17:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,255983,1020000,1020000,2009790,733807,2024-01
2024-01-08,Monday,cerah,9,0,95.2,cuci-setrika,18:00,2,2,4,8,7,10,normal,menipis,6.75,ok,161093,54014,0,666270,451163,2024-01
2024-01-09,Tuesday,cerah,9,0,100.9,cuci-setrika,19:00,2,2,4,8,7,10,normal,cukup,6.75,ok,294475,0,0,706001,411526,2024-01
2024-01-10,Wednesday,hujan,10,0,105.4,paket cepat,19:00,2,2,4,8,7,10,normal,cukup,7.5,ok,236672,0,0,737836,501164,2024-01
2024-01-11,Thursday,hujan,13,0,146.6,cuci-setrika,18:00,2,2,4,8,7,10,rusak,cukup,9.75,potensi_antrian,201293,408832,180000,1026417,416292,2024-01
2024-01-12,Friday,cerah,28,2,278.0,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,239588,1080000,1080000,1965705,646117,2024-01
2024-01-13,Saturday,cerah,28,1,283.3,cuci-setrika,18:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,329208,1080000,1080000,1993435,584227,2024-01
2024-01-14,Sunday,cerah,26,0,256.0,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,19.5,potensi_antrian,348713,960000,960000,1792194,483481,2024-01
2024-01-15,Monday,cerah,11,0,107.5,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,8.25,potensi_antrian,183307,60000,60000,752439,509132,2024-01
2024-01-16,Tuesday,cerah,9,0,90.4,cuci-setrika,18:00,2,2,4,8,7,10,normal,cukup,6.75,ok,278778,0,0,633101,354323,2024-01
2024-01-17,Wednesday,cerah,6,0,74.9,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,4.5,ok,203932,0,0,524244,320312,2024-01
2024-01-18,Thursday,cerah,8,0,88.6,cuci-setrika,18:00,2,2,4,8,7,10,normal,cukup,6.0,ok,209494,0,0,620475,410981,2024-01
2024-01-19,Friday,cerah,27,1,285.6,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,173061,1020000,1020000,2009006,815945,2024-01
2024-01-20,Saturday,cerah,30,0,302.6,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,22.5,potensi_antrian,274049,1200000,1200000,2118048,643999,2024-01
2024-01-21,Sunday,cerah,27,1,273.8,cuci biasa,20:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,340455,1020000,1020000,1926273,565818,2024-01
