tanggal,staff_hadir_total
2024-01-01,4
2024-01-02,3
2024-01-03,4
2024-01-04,3
2024-01-05,4
2024-01-06,4
2024-01-07,3
2024-01-08,4
2024-01-09,4
2024-01-10,4
2024-01-11,4
2024-01-12,4
2024-01-13,4
2024-01-14,3
2024-01-15,2
2024-01-16,3
2024-01-17,4
2024-01-18,4
2024-01-19,4
2024-01-20,4
2024-01-21,3
2024-01-22,4
2024-01-23,4
2024-01-24,4
2024-01-25,4
2024-01-26,3
2024-01-27,3
2024-01-28,3
2024-01-29,3
2024-01-30,4
2024-01-31,3
2024-02-01,3
2024-02-02,4
2024-02-03,4
2024-02-04,3
2024-02-05,4
2024-02-06,4
2024-02-07,4
2024-02-08,4
2024-02-09,4
2024-02-10,3
2024-02-11,4
2024-02-12,3
2024-02-13,4
2024-02-14,4
2024-02-15,2
2024-02-16,4
2024-02-17,3
2024-02-18,4
2024-02-19,4
2024-02-20,4
2024-02-21,3
2024-02-22,4
2024-02-23,4
2024-02-24,4
2024-02-25,3
2024-02-26,4
2024-02-27,4
2024-02-28,3
2024-02-29,4
2024-03-01,3
2024-03-02,4
2024-03-03,2
2024-03-04,3
2024-03-05,3
2024-03-06,3
2024-03-07,2
2024-03-08,4
2024-03-09,3
2024-03-10,4
2024-03-11,4
2024-03-12,3
2024-03-13,4
2024-03-14,4
2024-03-15,4
2024-03-16,3
2024-03-17,3
2024-03-18,3
2024-03-19,4
2024-03-20,3
2024-03-21,3
2024-03-22,3
2024-03-23,4
2024-03-24,4
2024-03-25,4
2024-03-26,4
2024-03-27,4
2024-03-28,4
2024-03-29,4
2024-03-30,4
