tanggal,hari,cuaca,jumlah_transaksi,jumlah_sprei,berat_total_kg,jenis_layanan_terbanyak,jam_teramai,staff_pagi_count,staff_sore_count,total_staff_available,hours_pagi,hours_sore,kapasitas_teoritis_transaksi,status_mesin,stok_deterjen,estimasi_waktu_selesai_jam,indikator_antrian,biaya_operasional,biaya_tak_terduga,biaya_lembur,pendapatan_harian,laba_harian,bulan,jenis_pengeluaran,nominal,keterangan,id_waktu
2024-01-02,Tuesday,hujan,27,0,273.1,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,313678,1020000,1020000,1911380,891380,2024-01,biaya_tak_terduga,1020000,biaya operasional tak terduga,20240102
2024-01-03,Wednesday,cerah,8,0,80.9,cuci biasa,18:00,2,2,4,8,7,10,normal,menipis,6.0,ok,314231,89504,0,566443,476939,2024-01,biaya_tak_terduga,89504,biaya operasional tak terduga,20240103
2024-01-04,Thursday,hujan,15,0,151.4,cuci biasa,20:00,2,2,4,8,7,10,normal,cukup,11.25,potensi_antrian,255878,300000,300000,1060079,760079,2024-01,biaya_tak_terduga,300000,biaya operasional tak terduga,20240104
2024-01-05,Friday,cerah,27,0,261.2,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,157392,1020000,1020000,1828558,808558,2024-01,biaya_tak_terduga,1020000,biaya operasional tak terduga,20240105
2024-01-06,Saturday,cerah,28,3,292.6,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,170932,1080000,1080000,2078545,998545,2024-01,biaya_tak_terduga,1080000,biaya operasional tak terduga,20240106
2024-01-07,Sunday,cerah,27,2,284.3,cuci biasa,17:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,255983,1020000,1020000,2009790,989790,2024-01,biaya_tak_terduga,1020000,biaya operasional tak terduga,20240107
2024-01-08,Monday,cerah,9,0,95.2,cuci-setrika,18:00,2,2,4,8,7,10,normal,menipis,6.75,ok,161093,54014,0,666270,612256,2024-01,biaya_tak_terduga,54014,biaya operasional tak terduga,20240108
2024-01-11,Thursday,hujan,13,0,146.6,cuci-setrika,18:00,2,2,4,8,7,10,rusak,cukup,9.75,potensi_antrian,201293,408832,180000,1026417,617585,2024-01,biaya_tak_terduga,408832,biaya operasional tak terduga,20240111
2024-01-12,Friday,cerah,28,2,278.0,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,239588,1080000,1080000,1965705,885705,2024-01,biaya_tak_terduga,1080000,biaya operasional tak terduga,20240112
2024-01-13,Saturday,cerah,28,1,283.3,cuci-setrika,18:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,329208,1080000,1080000,1993435,913435,2024-01,biaya_tak_terduga,1080000,biaya operasional tak terduga,20240113
2024-01-14,Sunday,cerah,26,0,256.0,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,19.5,potensi_antrian,348713,960000,960000,1792194,832194,2024-01,biaya_tak_terduga,960000,biaya operasional tak terduga,20240114
